Particle size,SSA,Age,Mw,LogKow,pKa2,Solubility,MP concentration,AT concentration,Temperature,pH,Qm
0.3,,0,444.44,-1.37,7.7,1690,0.2,10,25,3.17904,15.6074
0.3,,0,444.44,-1.37,7.7,1690,0.2,10,25,3.67031,17.4819
0.3,,0,444.44,-1.37,7.7,1690,0.2,10,25,4.17795,21.3704
0.3,,0,444.44,-1.37,7.7,1690,0.2,10,25,4.86572,25.1167
0.3,,0,444.44,-1.37,7.7,1690,0.2,10,25,6.22489,23.6914
0.3,,0,444.44,-1.37,7.7,1690,0.2,10,25,7.10917,21.3265
0.3,,0,444.44,-1.37,7.7,1690,0.2,10,25,8.05895,15.8699
0.3,,0,444.44,-1.37,7.7,1690,0.2,10,25,9.00873,12.8585
0.3,,0,444.44,-1.37,7.7,1690,0.2,2.63941,25,6,6.26779
0.3,,0,444.44,-1.37,7.7,1690,0.2,4.34572,25,6,21.3659
0.3,,0,444.44,-1.37,7.7,1690,0.2,5.8513,25,6,38.5213
0.3,,0,444.44,-1.37,7.7,1690,0.2,7.42379,25,6,44.8186
0.3,,0,444.44,-1.37,7.7,1690,0.2,8.72862,25,6,48.5143
0.3,,0,444.44,-1.37,7.7,1690,0.2,9.66543,25,6,53.2233
0.3,,0,444.44,-1.37,7.7,1690,0.2,10.5019,25,6,54.8231
0.3,,0,444.44,-1.37,7.7,1690,0.2,3.30855,25,6,0.616588
0.3,,0,444.44,-1.37,7.7,1690,0.2,4.98141,25,6,14.6782
0.3,,0,444.44,-1.37,7.7,1690,0.2,6.52045,25,6,31.3184
0.3,,0,444.44,-1.37,7.7,1690,0.2,7.99257,25,6,38.6444
0.3,,0,444.44,-1.37,7.7,1690,0.2,9.16357,25,6,41.8152
0.3,,0,444.44,-1.37,7.7,1690,0.2,10.0669,25,6,45.4878
0.3,,0,444.44,-1.37,7.7,1690,0.2,10.9033,25,6,46.5703
0.3,,0,444.44,-1.37,7.7,1690,0.2,0.263941,25,6,19.0623
0.3,,0,444.44,-1.37,7.7,1690,0.2,3.10781,25,6,29.5706
0.3,,0,444.44,-1.37,7.7,1690,0.2,5.11524,25,6,43.6515
0.3,,0,444.44,-1.37,7.7,1690,0.2,6.68773,25,6,52.0177
0.3,,0,444.44,-1.37,7.7,1690,0.2,7.95911,25,6,57.7804
0.3,,0,444.44,-1.37,7.7,1690,0.2,8.92937,25,6,61.4569
0.3,,0,444.44,-1.37,7.7,1690,0.2,9.93309,25,6,63.0663
125,0.263,1,444.44,-1.37,7.7,1690,2,10,,3,0.729682
125,0.263,1,444.44,-1.37,7.7,1690,2,10,,4,0.840989
125,0.263,1,444.44,-1.37,7.7,1690,2,10,,5,0.902827
125,0.263,1,444.44,-1.37,7.7,1690,2,10,,6,1.11307
125,0.263,1,444.44,-1.37,7.7,1690,2,10,,7,1.21201
125,0.263,1,444.44,-1.37,7.7,1690,2,10,,8,1.18728
125,0.263,1,444.44,-1.37,7.7,1690,2,10,,9,0.964664
125,0.263,1,444.44,-1.37,7.7,1690,2,10,,10,0.803887
125,0.263,1,444.44,-1.37,7.7,1690,2,10,,11,0.766784
125,0.263,1,444.44,-1.37,7.7,1690,2,10,,12,0.556537
125,0.263,1,444.44,-1.37,7.7,1690,2,10,,3,1.0636
125,0.263,1,444.44,-1.37,7.7,1690,2,10,,4,1.19965
125,0.263,1,444.44,-1.37,7.7,1690,2,10,,5,1.39753
125,0.263,1,444.44,-1.37,7.7,1690,2,10,,6,1.47173
125,0.263,1,444.44,-1.37,7.7,1690,2,10,,7,1.57067
125,0.263,1,444.44,-1.37,7.7,1690,2,10,,8,1.36042
125,0.263,1,444.44,-1.37,7.7,1690,2,10,,9,1.24912
125,0.263,1,444.44,-1.37,7.7,1690,2,10,,10,1.03887
125,0.263,1,444.44,-1.37,7.7,1690,2,10,,11,0.902827
125,0.263,1,444.44,-1.37,7.7,1690,2,10,,12,0.754417
125,0.263,1,444.44,-1.37,7.7,1690,2,10,,,1.09027
125,0.263,1,444.44,-1.37,7.7,1690,2,10,,,1.10442
125,0.263,1,444.44,-1.37,7.7,1690,2,10,,,1.11858
125,0.263,1,444.44,-1.37,7.7,1690,2,10,,,1.09027
125,0.263,1,444.44,-1.37,7.7,1690,2,10,,,1.06903
125,0.263,1,444.44,-1.37,7.7,1690,2,10,,,1.02655
125,0.263,1,444.44,-1.37,7.7,1690,2,10,,,1.1823
125,0.263,1,444.44,-1.37,7.7,1690,2,10,,,1.30265
125,0.263,1,444.44,-1.37,7.7,1690,2,10,,,1.5292
125,0.263,1,444.44,-1.37,7.7,1690,2,10,,,1.54336
125,0.263,1,444.44,-1.37,7.7,1690,2,10,,,1.65664
125,0.263,1,444.44,-1.37,7.7,1690,2,10,,,1.69204
125,0.263,1,444.44,-1.37,7.7,1690,2,10,,,1.87611
125,0.263,1,444.44,-1.37,7.7,1690,2,10,,,1.93274
125,0.263,1,444.44,-1.37,7.7,1690,2,10,,,1.99646
125,0.263,1,444.44,-1.37,7.7,1690,2,10,,,2.12389
125,0.263,1,444.44,-1.37,7.7,1690,2,10,,,0.241415
125,0.263,1,444.44,-1.37,7.7,1690,2,10,,,0.606008
125,0.263,1,444.44,-1.37,7.7,1690,2,10,,,1.11929
125,0.263,1,444.44,-1.37,7.7,1690,2,10,,,1.14407
125,0.263,1,444.44,-1.37,7.7,1690,2,10,,,0.35786
125,0.263,1,444.44,-1.37,7.7,1690,2,10,,,0.977334
125,0.263,1,444.44,-1.37,7.7,1690,2,10,,,1.44813
125,0.263,1,444.44,-1.37,7.7,1690,2,10,,,1.53132
125,0.263,1,444.44,-1.37,7.7,1690,2,0.590732,25,,0.26087
125,0.263,1,444.44,-1.37,7.7,1690,2,1.09185,25,,0.521739
125,0.263,1,444.44,-1.37,7.7,1690,2,1.59262,25,,0.757764
125,0.263,1,444.44,-1.37,7.7,1690,2,1.51159,25,,0.89441
125,0.263,1,444.44,-1.37,7.7,1690,2,2.75829,25,,1.10559
125,0.263,1,444.44,-1.37,7.7,1690,2,7.07487,25,,1.45342
125,0.263,1,444.44,-1.37,7.7,1690,2,11.3099,25,,1.90062
125,0.263,1,444.44,-1.37,7.7,1690,2,15.9556,25,,2.06211
125,0.263,1,444.44,-1.37,7.7,1690,2,24.8349,25,,2.57143
125,0.263,1,444.44,-1.37,7.7,1690,2,33.7153,25,,3.15528
125,0.263,1,444.44,-1.37,7.7,1690,2,43.5837,25,,3.22981
125,0.263,1,444.44,-1.37,7.7,1690,2,0.425066,35,,0.273292
125,0.263,1,444.44,-1.37,7.7,1690,2,0.843436,35,,0.546584
125,0.263,1,444.44,-1.37,7.7,1690,2,1.34318,35,,0.708075
125,0.263,1,444.44,-1.37,7.7,1690,2,1.17992,35,,0.89441
125,0.263,1,444.44,-1.37,7.7,1690,2,2.34662,35,,1.31677
125,0.263,1,444.44,-1.37,7.7,1690,2,6.49805,35,,1.71429
125,0.263,1,444.44,-1.37,7.7,1690,2,10.4033,35,,2.29814
125,0.263,1,444.44,-1.37,7.7,1690,2,14.5551,35,,2.7205
125,0.263,1,444.44,-1.37,7.7,1690,2,23.8466,35,,3.0559
125,0.263,1,444.44,-1.37,7.7,1690,2,32.7278,35,,3.70186
125,0.263,1,444.44,-1.37,7.7,1690,2,42.431,35,,3.82609
125,0.263,1,444.44,-1.37,7.7,1690,2,0.425581,45,,0.310559
125,0.263,1,444.44,-1.37,7.7,1690,2,0.429186,45,,0.571429
125,0.263,1,444.44,-1.37,7.7,1690,2,1.26026,45,,0.708075
125,0.263,1,444.44,-1.37,7.7,1690,2,1.09786,45,,0.956522
125,0.263,1,444.44,-1.37,7.7,1690,2,2.18215,45,,1.41615
125,0.263,1,444.44,-1.37,7.7,1690,2,6.08757,45,,2.01242
125,0.263,1,444.44,-1.37,7.7,1690,2,9.74475,45,,2.64596
125,0.263,1,444.44,-1.37,7.7,1690,2,12.9908,45,,3.52795
125,0.263,1,444.44,-1.37,7.7,1690,2,21.9532,45,,4.04969
125,0.263,1,444.44,-1.37,7.7,1690,2,31.8219,45,,4.14907
125,0.263,1,444.44,-1.37,7.7,1690,2,41.4427,45,,4.31056
125,0.263,1,444.44,-1.37,7.7,1690,2,0.457441,25,,0.253962
125,0.263,1,444.44,-1.37,7.7,1690,2,0.995038,25,,0.520659
125,0.263,1,444.44,-1.37,7.7,1690,2,1.53202,25,,0.752553
125,0.263,1,444.44,-1.37,7.7,1690,2,2.78153,25,,1.10029
125,0.263,1,444.44,-1.37,7.7,1690,2,7.13959,25,,1.45891
125,0.263,1,444.44,-1.37,7.7,1690,2,11.3211,25,,1.87557
