Particle size,SSA,Age,Mw,LogKow,pKa2,Solubility,MP concentration,Temperature,pH,logKl
500,0.0539636,0,331.341,0.28,6.1,19440,6.7,25,5.5,-2.15490196
500,0.227055,0,331.341,0.28,6.1,19440,6.7,25,5.5,-2.045757491
154,0.14,0,419.45,0.75,7.4,3430,1,25,,-1.987162775
1,,0,361.37,-0.4,8.15,3230,0.25,25,,-0.590066877
125,,0,361.37,-0.4,8.15,3230,0.25,25,,-0.718966633
250,,0,361.37,-0.4,8.15,3230,0.25,25,,-0.730487056
500,,0,361.37,-0.4,8.15,3230,0.25,25,,-0.761953897
69.86,8.71,0,444.44,-1.37,7.7,1690,4,25,6,-0.092051478
204.7,2.11,0,444.44,-1.37,7.7,1690,4,25,6,0.087781418
192,0.001,0,444.44,-1.37,7.7,1690,4,25,6,0.046885191
,0.017,1,480.9,,,,18,25,,-0.89279003
,0.327,0,480.9,,,,18,25,,-0.974694135
,0.467,0,480.9,,,,18,25,,-1.004364805
613.55,1.05,1,,,,,0.4,27,7,-0.801342913
138.48,3.41,0,,,,,0.4,27,7,-1.677780705
613.55,1.05,1,419.45,0.75,7.4,3430,0.4,27,7,-0.774690718
138.48,3.41,0,419.45,0.75,7.4,3430,0.4,27,7,-1.080921908
160.37,0.32,1,,,,,0.4,27,7,-1.033389013
138.53,0.86,0,,,,,0.4,27,7,-1.212539525
160.37,0.32,1,419.45,0.75,7.4,3430,0.4,27,7,-0.863279433
138.53,0.86,0,419.45,0.75,7.4,3430,0.4,27,7,-0.841637508
110,1.579,1,460.343,-1.22,7.5,,0.4,25,,-1.252588192
110,5.436,0,460.343,-1.22,7.5,,0.4,25,,-0.909389292
110,1.579,1,,,,,0.4,25,,-1.089909454
110,5.436,0,,,,,0.4,25,,-1.116906641
180,0.656,1,444.44,-1.37,7.7,1690,2,25,,-1.909036923
180,0.896,0,444.44,-1.37,7.7,1690,2,25,,-1.996108834
180,1.301,1,444.44,-1.37,7.7,1690,2,25,,-1.7780644
180,1.387,0,444.44,-1.37,7.7,1690,2,25,,-1.674279142
